HARMFUL_SK,HARMFUL_DESCRIPTIONS,HARMFUL_CODES
e57058737d907d2837bada585b93f8a6,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE,12;24
9202bbb370fe62e1e37b533765cdeb70,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE,12;14
3331ed0b437c27e26939cf72f666d33c,PEDESTRIAN,8
28d993c58f5bae64dc603ec04f03e381,WALL,39
ce8d2f16c7a001a9b5d7c05225cdd225,OTHER OBJECT (NOT FIXED);DITCH,18;34;7
a6a1118e237d368fe2f5f7d106730b89,OTHER OBJECT (NOT FIXED);BUILDING,18;19
f594c762109f8c1818ac8f79d35098ea,DITCH;FIRE HYDRANT;Ran Off Road-Right,1;34;47;63
af0d1abd6b4d7d6f39b557c3693ba6b1,MOTOR VEHICLE IN TRANSPORT;FENCE,12;38
0c317abd0ce6ba80ceed732df3e9c4dc,BUILDING;MAIL BOX,19;40
d50385b3ebc7034acdd6c137dfbbd6f0,H-WAY TRAFFIC SIGNAL POST,27
c67aa31c152ac03b57022b018b6f712f,DITCH,34
210a996d22df61cf84099d3330d37b3a,MOTOR VEHICLE IN TRANSPORT;MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY,12;13
daae9e6913e668b1ce0fee320cbed9ad,OTHER OBJECT (NOT FIXED);Cargo Equip Loss/Shift,18;60
ab9cc0e9101c81bea4453a04b475487f,THROWN OR FALLING OBJECT,16
5d97c00291ec51147299260e2b512134,FIRE HYDRANT,1;47
0f5278fbe349095c8233dd1c0aee7030,CURB,33
ff194a1b9f3275c2a0ed317df1bd3369,PARKED MOTOR VEHICLE;UNKNOWN MOST HARMFUL EVENT,14;99
4800fcff18633017abd01bffd739be51,CONCRETE TRAFFIC BARRIER,36
42e210f8dc61eb68313643cd91c147f5,SHRUBBERY;TREE;Ran Off Road-Right,41;42;63
86a7b9bb0aac4b47d74961377e53db3b,UTILITY POLE;CURB;WALL,30;33;39
45fd52ddea62eee28588bf4f584e9e98,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;PEDESTRIAN,12;14;8
150fccca14043af3e9e1993e7b0dd81e,BOULDER,17
7214201522e368eea367362c1463adcb,BRIDGE RAIL,23
70407f0ec37267b90abd91488e369867,OTHER FIXED OBJECTS;Ran Off Road-Right,43;63
f11cd480aca0b3f8be43944392588a12,UNKNOWN,4
06f9e0c4d4ecdbce59fc3f85e79fe316,MOTOR VEHICLE IN TRANSPORT;OTHER TYPE NON-MOTORIST,12;15
4c553067fc2063d435d07274903f4e82,CULVERT;Ran Off Road-Right,32;63
6ac6761667bd57e6f6f51e75cc085e26,MOTOR VEHICLE IN TRANSPORT;PAVED SURFACE-IRREGULAR,12;44
b84613ebc206b790f996f06a676d3bba,Other Traffic Barrier;Ran Off Road-Right,37;63
96980688b7feea037bd6447bc6197136,TREE;Ran Off Road-Left,42;64
8a7aa8cc8bee85e53ef338af6dbed961,MAIL BOX;Ran Off Road-Right,40;63
c62ff0249c2ab1374f408d9e97a5904e,DITCH;Ran Off Road-Right;EMBANKMENT EARTH,34;63;71
9633fd9a64e660de33ce468d9e8a9b90,WALL;MAIL BOX,39;40
afc1625729e96f7704e7fb70759440bb,CULVERT,1;32
a6d383e72d135e256f97969dbcbea981,TREE;Vehicle Airborne,42;67
61a1932c24a22240ba74ee8a01051e06,UNKNOWN,2
b298c38c6c58fa8b8c9b3bb51cb2203b,OTHER OBJECT (NOT FIXED),18;7
2a8e4eae77738d954848b353f64623dc,MOTOR VEHICLE IN TRANSPORT;Ran Off Road-Left,12;64
006d3618cf3d914739d61c272ccbccb2,MOTOR VEHICLE IN TRANSPORT,1;12
79f3e73434c81726c4fa5ed797e07194,CURB;DITCH,33;34
b79a7ae7f491a63335c5d9209bdd1923,BOULDER;CULVERT;OTHER FIXED OBJECTS;Ran Off Road-Right,17;32;43;63
e1e2074b4cd31b95efa86ef8cfd6fb71,PAVED SURFACE-IRREGULAR,44
edfccbdc690939eb9bd1c74ec3319ed2,CURB;Ran Off Road-Left,33;64
