HARMFUL_SK,HARMFUL_DESCRIPTIONS,HARMFUL_CODES
1b902bbca3d013eae3d142cfc54b7242,MOTOR VEHICLE IN TRANSPORT;WALL;UNKNOWN MOST HARMFUL EVENT,12;39;99
f6a8f08b04f94654d6762ec1cb5f2ce4,MOTOR VEHICLE IN TRANSPORT;CULVERT;Ran Off Road-Right;EMBANKMENT EARTH,12;32;6;63;71
be77c96647758abcbe3e6133d4308400,OTHER ANIMAL;UTILITY POLE;Ran Off Road-Left;Cross Center Line,11;2;30;64;68
702b98347f8450030150fd99bb1aa7ef,BUILDING,1;19
98bac1f14551cd86f1a71b618229d989,UTILITY POLE;CURB;Ran Off Road-Right,30;33;63
eb6e34445ec8a7c08dc3bd5c0d6d050c,FENCE;Ran Off Road-Right;EMBANKMENT EARTH,38;63;71
f26a95ab2c74eda96b7639c248df75dc,DITCH,34;5
0f9e8cdbd8c0134c18c9550d58fa9229,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;TREE,12;14;42
d87fc230a547be352f215a40fad3fa71,OTHER POST; POLE; SUPP.;DITCH;Ran Off Road-Right,31;34;63
5ab20942fa70f996e1fd17a326179930,MOTOR VEHICLE IN TRANSPORT;Set In Motion By Motor Vehicle,1;12;54
38f101fd7ccac5bf58d2d1d4f4626f94,PARKED MOTOR VEHICLE;OTHER OBJECT (NOT FIXED);BUILDING;MAIL BOX;TREE;Motor Vehicle-In-Motion Outside Trafficw,14;18;19;40;42;55
f54a438d71008bbf445fa268f90157f5,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;CULVERT,12;14;32
cdbad52e77ea1b664447c1b7d7ea0ec7,OTHER OBJECT (NOT FIXED);DITCH;Ran Off Road-Left,18;34;64
2eccf26872370748e6670ecb6125ed25,RAILWAY TRAIN;UTILITY POLE;MAIL BOX,10;30;40
0c620350d18b8d8e796071dfebaa19e4,GUARDRAIL END;Ran Off Road-Left,1;25;64
78d84bdd9b00f7a8b5c6967cbcc1c226,MOTOR VEHICLE IN TRANSPORT;Ran Off Road-Left;Cross Median,12;64;65
5337d5b8ccbd575924f3dff97e457fbf,UTILITY POLE;Ran Off Road-Right;UNKNOWN MOST HARMFUL EVENT,30;63;99
a201c3f433158858edbc36ee30bd75c9,UTILITY POLE;MAIL BOX,1;30;40
c310f5a55db85c7a6d0ceec7b824e335,PARKED MOTOR VEHICLE;SHRUBBERY;Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Left,14;41;55;64
e38f777a4987b62792d6ba4d16f30138,H-WAY TRAFFIC SIGNAL POST;FENCE;TREE,27;38;42
95d5693c2a9d9e6a38650946bb0953d6,BUILDING;MAIL BOX;Occupant Struck By Own Vehicle,19;40;74
ad26f23a2a85b5e6631a19eb1b747340,MAIL BOX;TREE;EMBANKMENT EARTH,40;42;71
4f35900993e12ba3589e58f9a9b505c0,SHRUBBERY;Ran Off Road-Left,1;41;64
5e45f5b0dcf6f0b7c28d6da195f3d6a2,UTILITY POLE;DITCH;Ran Off Road-Left,1;30;34;64
516269122384f6f97e6360ea94f165c3,UTILITY POLE;MAIL BOX;Ran Off Road-Left;Cross Center Line,30;40;64;68
a5b13855b3bbd690462d89c95eb63cbb,OTHER OBJECT (NOT FIXED);GUARDRAIL END,18;25
ca635c9ecc4bffa5acbb001ad50a276a,OTHER POST; POLE; SUPP.;DITCH,31;34
a6a3cdb1ae0c589e959dc4500108c137,TREE;OTHER FIXED OBJECTS;Ran Off Road-Right,1;42;43;63
f557393b6e0ab5e42e4ed4d6a0c43cef,OTHER OBJECT (NOT FIXED);Motor Vehicle-In-Motion Outside Trafficw,18;55
c60e559831f54ae45af109b7483ea20c,UTILITY POLE;Equip Failure;Ran Off Road-Right,1;30;61;63
c8d378167914e87fa37f2ff0b47dd229,MOTOR VEHICLE IN TRANSPORT;OTHER POST; POLE; SUPP.;CULVERT,12;31;32
b3f8244a5c5e1c4076897997d045a833,MOTOR VEHICLE IN TRANSPORT;OTHER FIXED OBJECTS;Ran Off Road-Left,12;43;64
a6b41b439f51f8dff8bb388fa4c592af,WALL,39;7
fa934190fc3b644e49a9c6d85c26ec8f,TREE;Ran Off Road-Right;Ran Off Road-Left,42;63;64
2ada4a01f51b99d55963167f2a58fa1d,GUARDRAIL FACE,1;24;5
1907a2f5debbfa60a5ed0550183c8b4e,MOTOR VEHICLE IN TRANSPORT;H-WAY TRAFFIC SIGNAL POST;DITCH,12;27;34
82d47e44a18767fba6233b6b285723a2,WALL;Ran Off Road-Right,1;39;63
d83c85ef1b6c991546875b891f9655d5,OTHER POST; POLE; SUPP.;CURB;FENCE;SHRUBBERY,31;33;38;41
bb5c2deb9b0e781a7e51a2646ff64f37,BOULDER,17;7
a4803640ebc518db4d21e362ebcf13f5,OTHER POST; POLE; SUPP.;FENCE;Ran Off Road-Left,31;38;64
9f6277f3bd7a933e797ee9ba2c9cbf85,MAIL BOX;SHRUBBERY,40;41
d2c6f870c523514d8a96b91811dd1c72,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;FENCE;Motor Vehicle-In-Motion Outside Trafficw,12;14;38;55
008d0d87feb3c57c50b1218874903f5d,CONCRETE TRAFFIC BARRIER;Motor Vehicle-In-Motion Outside Trafficw;EMBANKMENT EARTH,1;36;55;71
319733486ec59dd3b373711ab149e435,BUILDING;UTILITY POLE,19;30
a6381db0570f8101960eab4ba0531a24,GUARDRAIL FACE;Ran Off Road-Right,24;63;7
96f807d62f961c8cac0a170ee5bc0165,MOTOR VEHICLE IN TRANSPORT;THROWN OR FALLING OBJECT;BUILDING,12;16;19
72975e22e379cf59db6297f3da6602e4,MOTOR VEHICLE IN TRANSPORT;Vehicle Airborne,1;12;6;67
79c96efef3d71240b2f728fa726ff20d,EMBANKMENT EARTH;UNKNOWN MOST HARMFUL EVENT,71;99
b6065e0feb728961d550c880e1b30090,CURB;FENCE;WALL,33;38;39
159a8b46bf580799f5ccc132e6351161,GUARDRAIL FACE;Ran Off Road-Left,1;24;64
17c097e3831447d1b5170644f76a8fca,MOTOR VEHICLE IN TRANSPORT;OTHER POST; POLE; SUPP.;TREE,12;31;42
13497b7714653116f50b82b4e12c31ec,MOTOR VEHICLE IN TRANSPORT;OTHER POST; POLE; SUPP.;Cross Median,12;31;65
4f77500ba15d3a25dd65cb3a10b1e08f,OTHER FIXED OBJECTS;Ran Off Road-Right;EMBANKMENT EARTH,43;63;71
3d03cd519d54b888af895db0bcf254af,MOTOR VEHICLE IN TRANSPORT;UTILITY POLE;DITCH;EMBANKMENT EARTH,12;30;34;71
9e55a243b4a40c74baefa6ac71b62be7,UTILITY POLE;MAIL BOX;OTHER FIXED OBJECTS,30;40;43
bfb2d3c523bdce9768590e217953dd1d,MOTOR VEHICLE IN TRANSPORT;FENCE;WALL,12;38;39
7f4b2e2b9ce2e0a33e4b9cad4cc713b3,Ran Off Road-Right;EMBANKMENT EARTH,63;7;71
380c818acf487529964db1579c78df39,LUMINAIRE/LIGHT SUPPORT,29;6
35e32b8bb7a695f7f3a0c1a5e70b8e31,MOTOR VEHICLE IN TRANSPORT;OVERHEAD SIGN SUPPORT,12;28
1332b3adb1aa8a500ebc544a72d8692c,CULVERT;Ran Off Road-Right;Ran Off Road-Left,1;32;63;64
536d39f7d4df017b30e1a84749f5bbce,BOULDER;MAIL BOX;SHRUBBERY;TREE;Ran Off Road-Left,17;40;41;42;64
59f95155ee89fe1f7af09b804ca939cd,OTHER POST; POLE; SUPP.;FENCE,2;31;38
226f54dc6b59abdbb63a5be8d2495462,OTHER OBJECT (NOT FIXED);FIRE HYDRANT,18;47
293c7fed61e11383de829f1cd1da8c8d,CURB;MAIL BOX;EMBANKMENT EARTH,33;40;71
391b189341327dacd6bd33dbf1d3ed7e,TRAFFIC SIGNAL SUPPORT;EMBANKMENT EARTH,46;71
4f9d4bb82d21a5dbd47cfc8aa95411e6,GUARDRAIL FACE;LUMINAIRE/LIGHT SUPPORT,24;29
7884483b517b11c2e07f99b0853c40f1,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;WALL;FIRE HYDRANT,1;12;14;39;47
759e4b45068f9ee40962d96be0bcf766,OTHER FIXED OBJECTS;Ran Off Road-Right;Ran Off Road-Left,43;63;64
6dfb1bcffa912f88884f071085c41794,MOTOR VEHICLE IN TRANSPORT;LUMINAIRE/LIGHT SUPPORT;EMBANKMENT ROCK/STONE/CONCRETE,12;29;72
3efb7d3e423d4236351624a651d7a7cf,PARKED MOTOR VEHICLE;GUARDRAIL FACE;Motor Vehicle-In-Motion Outside Trafficw,14;24;55
416d99df1324d5ec70ce6f350791d6c5,UTILITY POLE;Down Hill-Run Away,30;66
43aeca9c53ba85cd8d0b3b3f4da92e81,UNKNOWN,1;6
eb2a2e87e1903ae5b9a965f7561e571a,FENCE;OTHER FIXED OBJECTS;Ran Off Road-Right;Ran Off Road-Left;Bridge/Overhead Structure,38;43;63;64;75
0e1d0aa155ceb6e53bd26660585cffbe,CONCRETE TRAFFIC BARRIER,1;36;7
7c95ed71f993f5616485b72f4d2596cc,PARKED MOTOR VEHICLE;FIRE HYDRANT,14;47
b8969040909497c44ddbd0ec4440de94,BUILDING;CURB,19;33
47edbdecace20bae9b4729dc5afd24da,DITCH;SHRUBBERY;Ran Off Road-Left,34;41;64
4beeeef190812bb112a2fe7534973d7a,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;PARKED MOTOR VEHICLE,13;14;7
82ade03dc6d555b233d0e8fdda69e555,GUARDRAIL FACE;FENCE;WALL,24;38;39
c4d53b20d980c2d0e7ee63d36ceffaad,DITCH,1;34;5
85fa53523fc06a892313a7ea775ab1fb,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;MAIL BOX;PEDESTRIAN,12;14;40;8
8f5a281d652b7e7ffacd6ebe894a6f21,UNKNOWN,2;7
8745efabad6f1e0cfd2bcd41d7bf6e6a,GUARDRAIL FACE;SHRUBBERY;Ran Off Road-Right;EMBANKMENT EARTH,24;41;63;71
03b8a4be91934c77749d7ee07ab6406a,PARKED MOTOR VEHICLE;UTILITY POLE;FENCE,14;30;38
7a0f605a7b9838af87c9ae73954c7d58,FENCE;MAIL BOX;TREE,38;40;42
c08452201a891634d4d152ae090c82c7,GUARDRAIL FACE;CULVERT;EMBANKMENT EARTH,24;32;71
e0bf3eeb9cc69cd2ee5c23c4d98f3d18,CONCRETE TRAFFIC BARRIER;UNKNOWN MOST HARMFUL EVENT,36;99
039e48af92fce2559da4ce4fc6b674b9,MOTOR VEHICLE IN TRANSPORT;UTILITY POLE;Ran Off Road-Right,12;30;63
61a1bcbd78d2b434d0caf19ad377a29b,OTHER ANIMAL,11;7
d977119ff0b7173e61105f225d977cf2,UNKNOWN,3
6bfab2246843c167630392c40427ca33,PARKED MOTOR VEHICLE;WALL;OTHER FIXED OBJECTS,14;39;43
3f2f244571b3e2415d5f32fb2fd0ef70,PARKED MOTOR VEHICLE;WALL;MAIL BOX,14;39;40
9b3c68030f014b6759d9cc753e75ceda,MOTOR VEHICLE IN TRANSPORT;BOULDER,12;17
b2a643c3b89965b5af5c94a9bf124442,Ran Off Road-Left;EMBANKMENT EARTH,64;71
2a005c7dc11e1c97f4595d5b3ff344a1,LUMINAIRE/LIGHT SUPPORT,29;7
e85e2c15ba6ec0b5c705de368b07c798,OTHER OBJECT (NOT FIXED),1;18
4c70b115f69d9187941955bb30f9febe,PAVED SURFACE-IRREGULAR;Ran Off Road-Left;Cross Center Line;EMBANKMENT EARTH,1;44;64;68;71
9d545a473f9056eddba35bcafd7b1bdb,CURB;DITCH;Ran Off Road-Right,33;34;63
9a010c69333a9d6e2ffb26d1f839fe49,CONCRETE TRAFFIC BARRIER;Ran Off Road-Left,1;36;64
8dcee235f15f09501a39f5b34faf702d,GUARDRAIL FACE;WALL,24;39
9bc7dbfecb2e135496d67676e643a2eb,CURB;MAIL BOX;UNKNOWN MOST HARMFUL EVENT,33;40;99
d8cadd06737cbc8f1d8af4a1bca684c4,OTHER POST; POLE; SUPP.;CURB;PEDESTRIAN,31;33;8
b77fa7c3895a70c7d8aafec25bebf6eb,CURB;PAVED SURFACE-IRREGULAR;Ran Off Road-Left,33;44;64
45af4cad1ef1838302f2c52c1e423307,MOTOR VEHICLE IN TRANSPORT;CURB;FENCE;SHRUBBERY,12;33;38;41
b25493da2c6a5840dd4bf1c342d64712,MAIL BOX;PAVED SURFACE-IRREGULAR;EMBANKMENT EARTH,1;40;44;71
fe8bbac826b3317fb04f8e02b5f5241f,CURB;TREE;Ran Off Road-Left;Cross Center Line,33;42;64;68
0f7584dde56b42211989edf9f7c16381,GUARDRAIL END;FENCE,25;38
b5aea195f05f2136650e41476a78cb3f,TREE,1;42
d2f509d2e2b80ebffdc50c7238dac8d5,MAIL BOX,40;7
cb57f6496ce481c8f0f53ba0da86e333,MOTOR VEHICLE IN TRANSPORT;UTILITY POLE;CURB;Ran Off Road-Left,12;30;33;64
4c3c4e3d9c2b239a633ee6c6da555040,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;LUMINAIRE/LIGHT SUPPORT;CURB,12;14;29;33
173f0602dbaa3b30c0674cf89b80fd3b,CURB;TREE;FIRE HYDRANT,33;42;47
df62529ca70b6a2ef917daaa4201e482,BOULDER;UTILITY POLE;TREE,17;30;42
8a91a28b89677537323ab95c853dbaa1,PARKED MOTOR VEHICLE;CURB,14;33
03c336ea6085b67afe4cc3096140c27a,GUARDRAIL END;TREE,25;42
8c5e658bdf5bfd6e4570b4d1f97cd0a1,MOTOR VEHICLE IN TRANSPORT;BUILDING;OTHER POST; POLE; SUPP.,12;19;31
c881d6eb92ea215cf82cf050f64af447,MOTOR VEHICLE IN TRANSPORT;UTILITY POLE;DITCH;MAIL BOX,12;30;34;40
99a89176bda302ffc2fa119710a52c42,Cargo Equip Loss/Shift,4;60
dc9aa9287fe94432adb5439827645ee2,OTHER FIXED OBJECTS;FIRE HYDRANT,1;43;47
f263080e141545c89ef3995ab3bc210d,WALL;TREE;Ran Off Road-Right,39;42;63
234702b052361f255f62774eb475dc69,MAIL BOX;FIRE HYDRANT,40;47
c21adda225266d169eeaffb9c819cc9c,BRIDGE PIER/ABUTMENT;Ran Off Road-Right,21;63
e314490836f52d1f978d8d539a87619d,BUILDING;OTHER FIXED OBJECTS;Ran Off Road-Right;Ran Off Road-Left,19;43;63;64
6b16125512692fabb0be76e9095d70df,BRIDGE RAIL,1;23
55b06c2e5ba4e3e82153a841d8b68485,MOTOR VEHICLE IN TRANSPORT;WALL;Ran Off Road-Right,12;3;39;63
37eb16c6aef99894ec8ee1d4af6fbd67,MOTOR VEHICLE IN TRANSPORT;TREE;EMBANKMENT EARTH,12;42;71
bcafa892106fe49f9015e6929499a1a9,UTILITY POLE;CURB;FENCE,30;33;38
38b4bfe0814e9321d1744959dfe9e9f6,BOULDER;UTILITY POLE;SHRUBBERY;EMBANKMENT EARTH,1;17;30;41;71
a2282aa5b7804c02956acfa485e5ffa6,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;Ran Off Road-Right;Ran Off Road-Left,12;24;63;64
edf0c4edb7631f98d70cbaa7bfa1f6bc,DITCH;CONCRETE TRAFFIC BARRIER;Ran Off Road-Left,34;36;64
9e0e4f9db2ef9087dd0b99e1568a3143,MAIL BOX;SHRUBBERY;TREE,40;41;42
d941f575392351984faf829489c24914,Ran Off Road-Right;UNKNOWN MOST HARMFUL EVENT,63;99
6d367b09ef1f36ea3f4b016234cdf9ea,GUARDRAIL FACE;DITCH,1;24;34
949d602404f82eea4da889ffd6f5ed4a,CONCRETE TRAFFIC BARRIER;Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Right,1;36;55;63
91885154b42845735bdef520ac4af7b0,MOTOR VEHICLE IN TRANSPORT;MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY,12;13;7
4722fa6e9743fa2c1f36511100f0e931,OTHER POST; POLE; SUPP.;MAIL BOX;Ran Off Road-Right,1;31;40;63
9fb486a876df5c53aab865a9f4a228a1,DITCH;Cable Barrier,34;57
f1cad4c702efb5f5eda98f52b3827074,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;Ran Off Road-Left,12;14;64
9ecde3c033c373c5527a1718d8d4ef01,FENCE;Ran Off Road-Right,1;38;63
18e619c5f56e177c186b87b573ec82bf,UTILITY POLE;DITCH;MAIL BOX,30;34;40
bac2631d5ab2398485398ddb8f8c8421,TREE;Ran Off Road-Right,42;63;7
2cf58eaa3da60e70fed8180d3e669345,OTHER POST; POLE; SUPP.;EMBANKMENT EARTH,31;71
fa18c5d19f66573b3602997b7e449598,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;OTHER OBJECT (NOT FIXED),12;14;18
381683a481a38a9ebdb0a3d277ce2a49,MOTOR VEHICLE IN TRANSPORT;MAIL BOX,1;12;40
2fc6e04256a947bdf0d2ca12df0be9d8,BOULDER;EMBANKMENT EARTH,17;71
b4b9041a3b88de322ef4cdef4fc4f260,OTHER POST; POLE; SUPP.;Ran Off Road-Left,31;64
881c41c646e648e47613aab7ef43f65a,PARKED MOTOR VEHICLE;CURB;Ran Off Road-Left,14;33;64
581c662ea719f8023bda02f9fa8ecba6,SHRUBBERY;Ran Off Road-Right;EMBANKMENT EARTH,1;41;63;71
b11f38b842db7df46b418c3bc6a54dbd,MOTOR VEHICLE IN TRANSPORT;CURB;TREE;Ran Off Road-Right,12;33;42;63
86530a5a3897416bd2c087899a678967,GUARDRAIL END,25;7
08edce5f152f77b7326bae1a86375a35,FENCE,38;7
cbdffe2f6fdcc23173ef12d9ba60f496,Occupant Struck By Own Vehicle,74
a1ee0c422e7fb3c74917708f275fe591,PARKED MOTOR VEHICLE;CURB;Motor Vehicle-In-Motion Outside Trafficw,14;33;55
f6139fb299d267bbd310640ac0c6707e,OTHER OBJECT (NOT FIXED);UTILITY POLE;EMBANKMENT EARTH,18;30;71
38fcff6a037e1f35751e054ffa0605d4,PARKED MOTOR VEHICLE;BUILDING;PEDESTRIAN,14;19;8
4dad8c08ec2d82d35cddf9eb73294626,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;PARKED MOTOR VEHICLE;BUILDING,13;14;19
7b3e4a136f37fd82961a1072b014baf8,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;BUILDING;MAIL BOX,12;14;19;40
7e321afc80425fbf1fcaaf88169cefc1,FENCE,2;38
81f0b1dec04ae81de94c14d58a31ace9,PARKED MOTOR VEHICLE;OTHER POST; POLE; SUPP.;Set In Motion By Motor Vehicle;Ran Off Road-Right,1;14;31;54;63
3010fe7ddb1c81244a51ec084f3a8c85,GUARDRAIL FACE;UTILITY POLE;MAIL BOX;Ran Off Road-Right,24;30;40;63
4f8b38f96c09f177ea6ca96bf8b56952,UTILITY POLE;Ran Off Road-Left;Cross Center Line,30;64;68
3d67476e1cc4b1d5b5a742c096ba6b2b,MOTOR VEHICLE IN TRANSPORT;UTILITY POLE;TREE;OTHER FIXED OBJECTS,1;12;30;42;43
3c368f344923c62399195ca15c19e313,MOTOR VEHICLE IN TRANSPORT;Ran Off Road-Right;EMBANKMENT ROCK/STONE/CONCRETE,12;63;7;72
4c78555e398d5d6ce2ebb00457b58d85,OTHER OBJECT (NOT FIXED);TREE,18;42
7c565e7275831c127ea42c66c4ea947d,GUARDRAIL FACE,24;4
5cc9cef87970845daf637ab45a290909,Ran Off Road-Left,1;6;64
c29cf0bc7977be1ccf39214d9ba76018,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;FENCE;MAIL BOX;Separation Of Units,12;14;38;40;62
de28d6dddf796858b315ee4040ef3e68,MOTOR VEHICLE IN TRANSPORT;MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;GUARDRAIL FACE;OTHER POST; POLE; SUPP.;Motor Vehicle-In-Motion Outside Trafficw,1;12;13;24;31;55
04fb92da52865c48cd5b89dc2213ffda,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;UTILITY POLE;Ran Off Road-Right,12;14;30;63
342e9952c2ae7f3abd17b39560d07658,BRIDGE PIER/ABUTMENT;H-WAY TRAFFIC SIGNAL POST;CULVERT,21;27;32
2a701bcaa8478d7c4280c4bc9f2e140b,MOTOR VEHICLE IN TRANSPORT;OTHER FIXED OBJECTS;Ran Off Road-Right,12;43;63
e688f4c74e00075f63e117ce64212c1d,DITCH,1;34;7
186f0d60271ddeee49eeef6238eb6e69,GUARDRAIL FACE;Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Left,24;55;64;7
de6d0d385ee8ce855a7b4db031a0035d,MOTOR VEHICLE IN TRANSPORT;IMPACT ATTENUATOR;CONCRETE TRAFFIC BARRIER;WALL,12;20;36;39
31ea158b9628289a72f281d69685e6f8,OTHER OBJECT (NOT FIXED);BUILDING;EMBANKMENT EARTH,18;19;71
442e6424d3c97a1f7fa75ffe1c17b825,MOTOR VEHICLE IN TRANSPORT;DITCH;UNKNOWN MOST HARMFUL EVENT,12;34;99
1efa6c30530e02407ea4ef80c65d256d,GUARDRAIL FACE;H-WAY TRAFFIC SIGNAL POST;DITCH,1;24;27;34
ca2144dcf6794b8a56f7346e78e859ee,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL END;EMBANKMENT EARTH,12;25;71
ef75fd904a45ee8d5047552634c8d1c3,UTILITY POLE;DITCH;Ran Off Road-Left,30;34;64
3f82e213648cdab486c884d076dc7aa5,CONCRETE TRAFFIC BARRIER;EMBANKMENT ROCK/STONE/CONCRETE,1;36;72
67c1c421fbecc20964fa0f4c423fd86c,OTHER OBJECT (NOT FIXED);OTHER POST; POLE; SUPP.,18;31
68a881f638211300c21b4d5699c79876,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;GUARDRAIL END,12;24;25
807613326160c97d63899459b6912953,GUARDRAIL END;Motor Vehicle-In-Motion Outside Trafficw,25;55
493d5aeeb258d9f40d25c1e70f6a68e1,PARKED MOTOR VEHICLE;OTHER POST; POLE; SUPP.,14;31
d755d9ff67a546a19ab31c94975d47da,FENCE;SHRUBBERY;Ran Off Road-Right,38;41;63
c6100b3bdaef32acfe6cfaad66784099,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;UTILITY POLE;WALL,12;14;30;39
24fa010676abdd2fa03aadf4ddb9cda1,MOTOR VEHICLE IN TRANSPORT;EMBANKMENT EARTH,1;12;71
7ac096890b18f36b9b3a72602111b470,FENCE;Equip Failure,38;61
1a51c0bfc81f20034b08ceebe62b153a,THROWN OR FALLING OBJECT;LUMINAIRE/LIGHT SUPPORT;TREE,16;29;42
d1d6210897d282c24e002bb4360a2b19,CULVERT;CURB;EMBANKMENT EARTH,32;33;71
b58cc1c73a1d4c1bca1cbacf89a6bd10,CURB;OTHER FIXED OBJECTS;Ran Off Road-Left;Cross Center Line,33;43;64;68
3ee1a8e6399213c1bb45a017706cda1e,MOTOR VEHICLE IN TRANSPORT;OTHER POST; POLE; SUPP.;Ran Off Road-Right,12;31;63
821282d5a511134c1f67afe696f5ccd3,LUMINAIRE/LIGHT SUPPORT;SHRUBBERY;EMBANKMENT EARTH,29;41;71
af7b2089e31b360938c12ba6dc8ad352,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;MAIL BOX;EMBANKMENT ROCK/STONE/CONCRETE,12;14;40;72
c991593a79d9b20b39b5dff58b4e38f4,OTHER OBJECT (NOT FIXED);UTILITY POLE;MAIL BOX;OTHER FIXED OBJECTS,18;30;40;43
09a2e3d805182481886f8f68aceca047,MOTOR VEHICLE IN TRANSPORT;Cross Median,12;65
b8cf86b92252962cdbefbb51cdfd5b0d,UTILITY POLE;SHRUBBERY;Ran Off Road-Left;Cross Center Line,30;41;64;68
e823391cab0c2a2a0b68f9df97012009,GUARDRAIL FACE;FENCE,24;38
2754d4d3876d939a5a2062b79f2bca41,CULVERT;DITCH;Ran Off Road-Left,32;34;64
baad45a3df00dc87f69d1942ec513eb6,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;Ran Off Road-Left,12;24;64
3f65f1e980857b20222ee521fdbb86bd,CURB;MAIL BOX;SHRUBBERY,33;40;41
c6516317024814ce3302e82d9e2d217d,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;SHRUBBERY,12;14;41
06a63f64c9f2c887e959319d2b1e206a,OTHER FIXED OBJECTS;Motor Vehicle-In-Motion Outside Trafficw,43;55
6b2da0adb8b3cdef65bcf9a23a1a7cca,PARKED MOTOR VEHICLE;SHRUBBERY;Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Right;EMBANKMENT EARTH,14;41;55;63;71
22dec55d502b34fe2141ff3fd6213ea7,SHRUBBERY;Ran Off Road-Right;EMBANKMENT EARTH,41;63;71
69ecbe307442f0256b538ce5d551a453,PARKED MOTOR VEHICLE;TREE;Motor Vehicle-In-Motion Outside Trafficw,14;42;55
69505309f842820a987e4ceb1a8149b3,LUMINAIRE/LIGHT SUPPORT;OTHER POST; POLE; SUPP.;CURB,29;31;33
0c138105d49fef62acf39d528ae33a6f,IMPACT ATTENUATOR;TRAFFIC SIGNAL SUPPORT,20;46
7e291c0d4f37e9b4e186505bb8d2fe2f,H-WAY TRAFFIC SIGNAL POST;Ran Off Road-Left,27;64
3a2535aff0e25d0c042c06d427111f90,CULVERT;FIRE HYDRANT,1;32;47
f0d552109e55c4bfb589500556e28c1f,MOTOR VEHICLE IN TRANSPORT;DEER (ANIMAL),12;50
cfd405cceaa40ef557bce33625e9658d,CURB;WALL;EMBANKMENT EARTH,33;39;71
5e360ac7475d6bb2e44dcae7a78daaf8,GUARDRAIL FACE;DITCH;CONCRETE TRAFFIC BARRIER;Ran Off Road-Right,24;34;36;63
c6e9cd9f1c17146b3d9fdbd080ac9bc4,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;Motor Vehicle-In-Motion Outside Trafficw,12;14;55
5b45594f1a043841a4d6be421f3a516b,OTHER POST; POLE; SUPP.;Ran Off Road-Left;EMBANKMENT EARTH,31;64;71
a83accddb70bd148ee503c74db54204e,LUMINAIRE/LIGHT SUPPORT;CURB;TREE,29;33;42
735187f1c47cd4efcf1f456d87a8e6c6,CURB;Cross Center Line,33;68
7ea974112e04dc53f45dd5158b616a1e,FENCE;OTHER FIXED OBJECTS,38;43
61ea48510e6fd09fd4dff175ffbbaae8,CULVERT;Ran Off Road-Right,1;32;63
3c099d2aa9cb4a16dfcb22c530e35a88,CURB;DITCH;TREE,33;34;42
8ade784aede359344f366e47d9d53532,MOTOR VEHICLE IN TRANSPORT;OTHER OBJECT (NOT FIXED);DITCH;WALL,12;18;34;39
250f7b446d4934559d16f02fb614a581,MOTOR VEHICLE IN TRANSPORT;TREE,1;12;42
1aa21eeac8d8feab15ec368cb6752fbb,GUARDRAIL END;DITCH,25;34;4
0dc5e195a35aedf5b7e2b05eb6c53a52,MOTOR VEHICLE IN TRANSPORT;SHRUBBERY;Ran Off Road-Right,12;41;63
5128bbd0b8c023ee893758f816e91ab0,CURB;DITCH;SHRUBBERY;TREE,33;34;41;42
85d8cec60bde11be608f9708d1674eb8,DEER (ANIMAL);Ran Off Road-Left,50;64
f315d02e2b4be26ef3b882daf56271ec,MOTOR VEHICLE IN TRANSPORT;MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;UTILITY POLE,12;13;30
62f90597e7bf1482f91ba2ce56375891,LUMINAIRE/LIGHT SUPPORT;Ran Off Road-Right,29;63
3e4eb5546027882c16ccf2f2985349e0,DITCH;OTHER FIXED OBJECTS;EMBANKMENT EARTH,34;43;71
